Trong các loại văn hóa doanh nghiệp của Daft thì văn hóa sứ mệnh có đặc điểm gì? | The correct answer is: Phong cách lãnh đạo là tổ chức định hướng hành vi
Biểu trưng trực quan nào của văn hóa doanh nghiệp là việc lặp đi lặp lại trình tự của các hoạt động để thể hiện và củng cố giá trị của tổ chức? | The correct answer is: Nghi lễ
Biểu trưng phi trực quan nào của văn hóa doanh nghiệp là những biểu trưng về giá trị, triết lý chắt lọc trong quá trình hoạt động được tổ chức sử dụng để thể hiện những giá trị chủ đạo và phương châm hành động cần kiên trì theo đuổi? | The correct answer is: Lịch sử phát triển và truyền thống
Các nhân tố bên trong ảnh hưởng đến văn hóa doanh nghiệp KHÔNG bao gồm? | The correct answer is: Thể chế xã hội
Bất cứ một thương hiệu nào muốn gia nhập vào một thị trường mới đều cho văn hoá bản địa là? | The correct answer is: Rào cản.
Ví dụ về ấn phẩm điển hình trong biểu trưng trực quan của văn hóa doanh nghiệp là? | The correct answer is: Sách quảng cáo
Thể chế xã hội tác động đến văn hóa kinh doanh bao gồm? | The correct answer is: Cả 3 đáp án trên đều đúng
Phát biểu nào KHÔNG phải là văn hoá hiệp lực trong các loại văn hóa của Sethia và Klinow? | The correct answer is: Việc hoàn thành mục tiêu của tổ chức chỉ ở mức tối thiểu
Trong các dạng văn hoá doanh nghiệp của Harrison/Handy, văn hoá nào trì trệ, chậm phản ứng trước thay đổi? | The correct answer is: Văn hoá vai trò
Người Việt Nam chịu ảnh hưởng mạnh của triết lý nào trong kinh doanh? | The correct answer is: Đạo Phật.
Đặc điểm của văn hoá nam nhi trong các dạng văn hoá doanh nghiệp của Deal và Kennedy là? | The correct answer is: Thiếu khả năng hợp tác
Biểu trưng trực quan nào của văn hóa doanh nghiệp thường được tạo lập từ những sự kiện có thật, được mọi thành viên trong doanh nghiệp cùng chia sẻ và truyền đạt lại với thành viên mới? | The correct answer is: Giai thoại
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường ít rủi ro? | The correct answer is: Văn hoá làm ra làm, chơi ra chơi và văn hoá quy trình
Nguồn gốc văn hóa của một tổ chức là gì? | The correct answer is: Người sáng lập
Phát biểu nào sau đây là sai khi nói về uỷ ban hay hội đồng đạo đức trong nhóm chính thức của cơ cấu tổ chức? | The correct answer is: Không có quyền lực
Cách tiếp cận của Scholz với văn hoá doanh nghiệp là? | The correct answer is: Tìm mối liên hệ giữa văn hoá tổ chức với chiến lược hoạt động
Những chính sách, quy chế về đạo đức của doanh nghiệp nhằm? | The correct answer is: Phát hiện, xử lý, ngăn chặn các hành vi phi pháp và bảo vệ người dám đấu tranh khỏi bị sa thải, trù úm
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường rủi ro, và cần có thời gian để đưa ra quyết định? | The correct answer is: Văn hoá phó thác
Trong các loại văn hóa của Sethia và Klinow, loại văn hoá nào kết hợp được sự quan tâm đến con người lẫn kết quả công việc? | The correct answer is: Hiệp lực
Theo Quin và McGrath thì điều nào sau đây không phải ưu điểm của văn hoá kinh tế hay văn hoá thị trường? | The correct answer is: Tính công bằng
Nhân tố nào sau đây tác động ít nhất đến văn hoá kinh doanh? | The correct answer is: Những mối quan hệ cá nhân.
Đặc trưng nào sau đây của văn hoá kinh doanh sẽ dẫn tới sự thích ứng văn hoá giữa các nền văn hoá khác nhau? | The correct answer is: Tính cộng đồng.
Phát biểu nào sau đây là sai khi nói về nhóm phi chính thức của cơ cấu tổ chức? | The correct answer is: Không có ảnh hưởng quan trọng nào đến tổ chức
Nhóm phi chính thức trong cơ cấu tổ chức gây ảnh hưởng đối với thành viên bằng? | The correct answer is: Giá trị và sự ủng hộ về tinh thần
Trong các dạng văn hoá doanh nghiệp của Deal và Kennedy, loại văn hoá nào xuất hiện trong môi trường rủi ro, và yêu cầu phản ứng nhanh? | The correct answer is: Văn hoá nam nhi
Trọng tâm vào nội bộ tổ chức để đáp ứng lại sự thay đổi nhanh của môi trường là đặc trưng dạng văn hoá nào theo phân loại của Daft? | The correct answer is: Văn hoá hoà nhập
Chọn câu SAI trong các phát biểu sau? | The correct answer is: Chỉ có một dạng văn hoá doanh nghiệp
Vai trò của triết lý kinh doanh trong văn hóa doanh nghiệp là rất quan trọng nhưng nó KHÔNG thể giúp doanh nghiệp có? | The correct answer is: Khả năng chiến thắng mọi đối thủ cạnh tranh
Chọn phát biểu ĐÚNG khi nói về văn hoá công việc trong các dạng văn hoá doanh nghiệp của Harrison/Handy? | The correct answer is: Thường xuất hiện khi tất cả nỗ lực trong tổ chức đều tập trung vào việc thực hiện công việc hay dự án cụ thể
Theo Quin và McGrath thì văn hoá kinh tế hay văn hoá thị trường có hạn chế nào? | The correct answer is: Dễ dẫn đến tình trạng chủ quan duy ý chí.
Điều nào sau đây ĐÚNG khi nói về văn hoá cá nhân trong các dạng văn hoá doanh nghiệp của Harrison/Handy? | The correct answer is: Hình thành khi một nhóm người tự tổ chức thành tập thể để đạt lợi ích cao nhất
Biểu trưng trực quan nào của văn hóa doanh nghiệp là những tư liệu chính thức có thể giúp đối tượng hữu quan nhận thức rõ hơn về cấu trúc văn hóa của một doanh nghiệp? | The correct answer is: Ấn phẩm điển hình
Các cách để doanh nghiệp truyền tải được thông điệp về giá trị đạo đức đến các bộ phận trong tổ chức cũng như giúp nhân viên thực hành các giá trị này là? | The correct answer is: Cả 3 đáp án trên đều đúng
Văn hoá doanh nghiệp mang đặc tính? | The correct answer is: Ổn định bền vững và có khả năng duy trì qua nhiều thế hệ
Trong doanh nghiệp luôn tồn tại những nhóm được hình thành một cách chính thức trong cấu trúc đó là? | The correct answer is: Nhóm chức năng và nhóm tác nghiệp
Văn hóa doanh nghiệp tạo ra? | The correct answer is: Lực hướng tâm cho toàn bộ doanh nghiệp
Theo Quin và McGrath thì văn hoá kinh tế hay văn hoá thị trường có phong cách lãnh đạo đặc trưng là? | The correct answer is: Chỉ đạo
Từ góc độ đạo đức, loại văn hoá doanh nghiệp nào là nên được khuyến khích trong các loại văn hóa của Sethia và Klinow? | The correct answer is: Chu đáo
Theo cách tiếp cận của Scholz văn hoá tiến triển thường? | The correct answer is: Tôn trọng nhân cách riêng
Theo phân loại của Sethia và Klinow thì văn hóa thờ ơ là? | The correct answer is: Việc hoàn thành mục tiêu của tổ chức ở mức tối đa
Văn hóa doanh nghiệp có đặc điểm? | The correct answer is: Cả 3 đáp án trên đều đúng
Trọng tâm vào những vấn đề nội bộ tổ chức và xây dựng môi trường ổn định là đặc trưng dạng văn hoá nào theo phân loại của Daft? | The correct answer is: Văn hoá nhất quán
Đặc điểm nào KHÔNG phải của văn hoá phó thác trong các dạng văn hoá doanh nghiệp của Deal và Kennedy? | The correct answer is: Phản ứng nhanh chóng với những biến động
Một nền văn hóa doanh nghiệp mạnh có tác dụng? | The correct answer is: Khích lệ sự đổi mới
Biểu trưng phi trực quan nào của văn hóa doanh nghiệp là khái niệm phản ánh nhận thức của con người liên quan đến chuẩn mực đạo đức mà họ cho rằng cần phải thực hiện? | The correct answer is: Giá trị
Hệ thống giá trị đạo đức chính thức của tổ chức sẽ? | The correct answer is: Đòi hỏi mọi thành viên nhận thức rõ điều đó và thể hiện cụ thể trong hành vi lao động của họ
Chiến lược chú trọng đến môi trường bên ngoài và dễ thay đổi là đặc trưng dạng văn hoá nào theo phân loại của Daft? | The correct answer is: Văn hoá thích ứng
Chọn câu ĐÚNG trong vai trò của người lãnh đạo đối với việc hình thành và củng cố bản sắc văn hoá doanh nghiệp? | The correct answer is: Vài trò của người lãnh đạo càng lớn, ảnh hưởng càng lớn
Đối với văn hóa doanh nghiệp thì tôn giáo và tín ngưỡng ảnh hưởng lớn đến? | The correct answer is: Hành vi và ứng xử của các nhà kinh doanh
Khách hàng thuộc nhân tố nào tác động đến văn hóa doanh nghiệp? | The correct answer is: Bên ngoài.
Các nguyên tắc chuẩn mực đạo đức kinh doanh của doanh nghiệp thuộc cấp độ nào trong văn hoá doanh nghiệp? | The correct answer is: Cấp độ 2: những giá trị được tuyên bố.
Chiến lược chú trọng đến môi trường bên ngoài nhưng không cần thay đổi nhanh là đặc trưng dạng văn hoá nào theo phân loại của Daft? | The correct answer is: Văn hoá sứ mệnh
Các dạng văn hoá doanh nghiệp của Daft là? | The correct answer is: Thích ứng, sứ mệnh, hoà nhập và nhất quán
Cấu trúc của văn hoá công việc trong các dạng văn hoá doanh nghiệp của Harrison/Handy? | The correct answer is: Như một ma trận hoặc như một lưới mắt cáo
Triết lý kinh doanh cung cấp các giá trị tạo nên một phong cách làm việc đặc thù của doanh nghiệp vì? | The correct answer is: Phong cách làm việc và mọi hoạt động của doanh nghiệp đều được dẫn dắt bởi triết lý kinh doanh.
“Hệ thống các ý nghĩa, giá trị, niềm tin chủ đạo, nhận thức và phương pháp tư duy được mọi thành viên của một tổ chức cùng đồng thuận và có ảnh hưởng ở phạm vi rộng đến cách thức hành động của các thành viên” là khái niệm của? | The correct answer is: Văn hóa doanh nghiệp
